Project,Client,Title,Duration
SOS1920-29,,#10 sincronizar repositorio,01:47:18
SOS1920-29,,#11 heroku,00:30:49
SOS1920-29,,#12 Clonar repositorio común,00:24:43
SOS1920-29,,#13 Leer Piazza,00:49:35
SOS1920-29,,#14 Instalar Postman,00:03:13
SOS1920-29,,#15 Desplegar proyecto en Heroku,01:09:35
SOS1920-29,,#16 Descarga de la herramienta Postman,00:07:15
SOS1920-29,,#17 Realizar el punto 3 del Backlog,01:03:56
SOS1920-29,,#18 Preparar servidor web,00:52:25
SOS1920-29,,#19 install postman,00:36:45
SOS1920-29,,#2 Registrar información,00:21:27
SOS1920-29,,#20 Revisar ficha,00:13:14
SOS1920-29,,#21 Revisión de Backlog y lectura de mensajes en Piazza,00:42:24
SOS1920-29,,#22 Realizar la API REST (Punto 5 backlog),01:12:46
SOS1920-29,,#23 Crear API F03 (Punto 5),02:26:15
SOS1920-29,,#24 Crear pruebas Postman,00:53:19
SOS1920-29,,#25 Desplegar API en Heroku,00:12:19
SOS1920-29,,#26 Pruebas en Postman,00:54:15
SOS1920-29,,"#27 Parametrizar la colección, publicarla y realizar tests en Postman",01:28:50
SOS1920-29,,#28 CREAR API RESET,01:41:57
SOS1920-29,,#29 creacion conjunto pruebas POSTMAN,01:28:16
SOS1920-29,,#3 Realizar el punto 13 del Backlog,00:15:53
SOS1920-29,,#30 Actualizar métodos con nedb,02:01:00
SOS1920-29,,#31 Exportar doc Postman para Heroku,00:24:42
SOS1920-29,,#32 Implementar búsquedas y paginación.,01:31:34
SOS1920-29,,#33 Persistencia en NeDB y extender la colección en Postman.,02:51:46
SOS1920-29,,#34 Pruebas en Postman y actualización del portal público de la API,01:24:09
SOS1920-29,,#35 Persistencia nedb,01:57:41
SOS1920-29,,#36 coleccion POSTMAN,01:34:52
SOS1920-29,,#37 Gráfica propia HighChart Edq_Stats,03:44:50
SOS1920-29,,#38 Crear table con datos API Edq_Stats,01:22:00
SOS1920-29,,#39 Añadir botones y funcionalidades a la tabla,03:33:00
SOS1920-29,,#40 Hacer vídeo sobre API Edq_Stats,00:22:26
SOS1920-29,,#44 Crear widgets D03.B,06:24:14
SOS1920-29,,#45 Remodelar web,00:13:22
SOS1920-29,,#46 Modificaciones en la API,01:47:38
SOS1920-29,,#47 Front-end en Svelte,03:10:05
SOS1920-29,,#48 Realizar vídeo,00:12:48
SOS1920-29,,#49 Realización gráfica 1,01:04:43
SOS1920-29,,#5 Añadir nombre a Readme,00:06:25
SOS1920-29,,#50 Realización gráfica 2,00:57:30
SOS1920-29,,#51 Integración y uso,08:30:12
SOS1920-29,,#52 Modificar API,02:02:03
SOS1920-29,,#53 svelte,01:30:45
SOS1920-29,,#54 Realizar video,00:16:02
SOS1920-29,,#55 Realizar Grafica1,04:28:22
SOS1920-29,,#56 Realizar Grafica 2,04:08:28
SOS1920-29,,#57 Realizar Integración,13:44:21
SOS1920-29,,#6 Montar servidor NodeJS,00:37:26
SOS1920-29,,#8 Realizar el punto 2 del backlog por grupo,00:28:45
SOS1920-29,,#9 Despliegue del proyecto en Heroku,00:48:28
SOS1920-29,,backlog13,00:09:28
SOS1920-29,,Registro Inormación punto 8 backlog,00:12:44
